 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity,EpiblastAmnionIntermediate
1,18s2z9.tif,124.98,274.67,164.75,13.72,11.60,158.03,0.85,1.18,0.85,0.95,A
2,18s2z9.tif,108.47,271.18,176.99,13.37,10.33,53.51,0.71,1.29,0.77,0.91,A
3,18s2z9.tif,70.39,260.12,180.23,13.07,6.86,35.37,0.53,1.91,0.52,0.81,I
4,18s2z9.tif,119.61,297.83,184.91,17.88,8.52,107.83,0.62,2.10,0.48,0.91,A
5,18s2z9.tif,40.92,282.00,180.68,8.57,6.08,49.06,0.76,1.41,0.71,0.90,A
6,18s2z9.tif,36.84,240.94,181.03,7.59,6.18,79.04,0.76,1.23,0.81,0.91,E
7,18s2z9.tif,28.43,234.25,186.98,6.43,5.63,10.50,0.59,1.14,0.88,0.81,E
8,18s2z9.tif,86.90,263.47,189.17,16.46,6.72,17.20,0.58,2.45,0.41,0.92,A
9,18s2z9.tif,30.96,248.10,190.42,8.58,4.60,20.42,0.64,1.87,0.54,0.87,E
10,18s2z9.tif,34.99,237.64,191.41,7.49,5.95,4.25,0.85,1.26,0.79,0.93,E
11,18s2z9.tif,56.45,228.40,195.41,9.42,7.63,111.12,0.64,1.24,0.81,0.86,E
12,18s2z9.tif,75.13,242.94,197.51,11.51,8.31,46.02,0.72,1.39,0.72,0.91,E
13,18s2z9.tif,40.04,214.60,195.71,8.22,6.20,173.42,0.85,1.33,0.75,0.94,E
14,18s2z9.tif,109.60,303.18,202.22,16.32,8.55,89.94,0.61,1.91,0.52,0.89,A
15,18s2z9.tif,32.66,222.48,198.46,7.39,5.62,64.62,0.83,1.31,0.76,0.97,E
16,18s2z9.tif,62.75,250.21,202.77,10.61,7.53,104.14,0.84,1.41,0.71,0.95,E
17,18s2z9.tif,64.50,225.43,204.73,12.51,6.57,173.55,0.59,1.90,0.53,0.87,E
18,18s2z9.tif,32.30,211.16,207.76,7.11,5.78,102.23,0.66,1.23,0.81,0.86,E
19,18s2z9.tif,74.67,218.29,213.52,10.36,9.18,146.31,0.84,1.13,0.89,0.93,E
20,18s2z9.tif,93.14,236.06,215.22,11.49,10.32,104.23,0.77,1.11,0.90,0.92,E
21,18s2z9.tif,70.64,304.17,214.51,10.41,8.64,53.19,0.79,1.20,0.83,0.92,A
22,18s2z9.tif,97.74,227.01,222.77,11.97,10.39,118.27,0.60,1.15,0.87,0.86,E
23,18s2z9.tif,32.56,287.04,222.54,6.93,5.98,14.62,0.71,1.16,0.86,0.87,A
24,18s2z9.tif,91.85,288.07,231.92,15.22,7.68,43.37,0.48,1.98,0.50,0.78,A
25,18s2z9.tif,116.26,232.76,233.84,12.91,11.46,28.58,0.70,1.13,0.89,0.88,E
26,18s2z9.tif,86.59,254.54,231.92,16.29,6.77,35.38,0.45,2.41,0.42,0.81,I
27,18s2z9.tif,57.79,214.12,231.27,9.50,7.75,138.78,0.86,1.23,0.82,0.94,E
28,18s2z9.tif,127.25,277.73,236.34,15.79,10.26,115.02,0.57,1.54,0.65,0.82,I
29,18s2z9.tif,74.46,243.14,234.99,13.17,7.20,59.51,0.71,1.83,0.55,0.91,E
30,18s2z9.tif,128.13,265.16,237.58,16.00,10.20,66.56,0.74,1.57,0.64,0.92,I
31,18s2z9.tif,32.66,257.32,237.60,7.40,5.62,65.28,0.66,1.32,0.76,0.89,I
